Name,Year,Lat,Long,JS,,,
Guangzhou,2000,23.1151,113.2952,"{ lat: 23.1151, lng: 113.2952},",,,"{ lat: 23.1151, lng: 113.2952, name: Guangzhou, year:2000},"
Foshan,2003,23.0121,113.1271,"{ lat: 23.0121, lng: 113.1271},",,,"{ lat: 23.0121, lng: 113.1271, name: Foshan, year:2003},"
Dongguan,2003,23.0158,113.7591,"{ lat: 23.0158, lng: 113.7591},",,,"{ lat: 23.0158, lng: 113.7591, name: Dongguan, year:2003},"
Zhanjiang,2003,21.2346,110.3916,"{ lat: 21.2346, lng: 110.3916},",,,"{ lat: 21.2346, lng: 110.3916, name: Zhanjiang, year:2003},"
Zhaoqing,2004,23.0624,112.4749,"{ lat: 23.0624, lng: 112.4749},",,,"{ lat: 23.0624, lng: 112.4749, name: Zhaoqing, year:2004},"
Qingyuan,2004,23.7183,113.0357,"{ lat: 23.7183, lng: 113.0357},",,,"{ lat: 23.7183, lng: 113.0357, name: Qingyuan, year:2004},"
Shaoguan,2004,24.8201,113.5943,"{ lat: 24.8201, lng: 113.5943},",,,"{ lat: 24.8201, lng: 113.5943, name: Shaoguan, year:2004},"
Yangjiang,2004,21.8655,11.9956,"{ lat: 21.8655, lng: 11.9956},",,,"{ lat: 21.8655, lng: 11.9956, name: Yangjiang, year:2004},"
Heyuan,2005,23.754,114.7023,"{ lat: 23.754, lng: 114.7023},",,,"{ lat: 23.754, lng: 114.7023, name: Heyuan, year:2005},"
Yunfu,2005,22.9289,112.0432,"{ lat: 22.9289, lng: 112.0432},",,,"{ lat: 22.9289, lng: 112.0432, name: Yunfu, year:2005},"
HongKong,2006,22.3807,114.1978,"{ lat: 22.3807, lng: 114.1978},",,,"{ lat: 22.3807, lng: 114.1978, name: HongKong, year:2006},"
Guiyang,2006,26.6039,106.6632,"{ lat: 26.6039, lng: 106.6632},",,,"{ lat: 26.6039, lng: 106.6632, name: Guiyang, year:2006},"
Beijing,2006,39.8956,116.4089,"{ lat: 39.8956, lng: 116.4089},",,,"{ lat: 39.8956, lng: 116.4089, name: Beijing, year:2006},"
Tianjin,2006,39.1276,117.1946,"{ lat: 39.1276, lng: 117.1946},",,,"{ lat: 39.1276, lng: 117.1946, name: Tianjin, year:2006},"
Hainan,2007,18.9269,109.744,"{ lat: 18.9269, lng: 109.744},",,,"{ lat: 18.9269, lng: 109.744, name: Hainan, year:2007},"
Huangshan,2007,29.711,118.3136,"{ lat: 29.711, lng: 118.3136},",,,"{ lat: 29.711, lng: 118.3136, name: Huangshan, year:2007},"
Shanghai,2008,31.2282,121.5082,"{ lat: 31.2282, lng: 121.5082},",,,"{ lat: 31.2282, lng: 121.5082, name: Shanghai, year:2008},"
Hefei,2008,31.8404,117.2797,"{ lat: 31.8404, lng: 117.2797},",,,"{ lat: 31.8404, lng: 117.2797, name: Hefei, year:2008},"
Shenzhen,2009,22.5489,114.0905,"{ lat: 22.5489, lng: 114.0905},",,,"{ lat: 22.5489, lng: 114.0905, name: Shenzhen, year:2009},"
Guilin,2009,25.2747,110.3035,"{ lat: 25.2747, lng: 110.3035},",,,"{ lat: 25.2747, lng: 110.3035, name: Guilin, year:2009},"
Xian,2009,34.2823,108.9555,"{ lat: 34.2823, lng: 108.9555},",,,"{ lat: 34.2823, lng: 108.9555, name: Xian, year:2009},"
Yongzhou,2010,26.4354,111.602,"{ lat: 26.4354, lng: 111.602},",,,"{ lat: 26.4354, lng: 111.602, name: Yongzhou, year:2010},"
Changsha,2010,28.1716,113.0102,"{ lat: 28.1716, lng: 113.0102},",,,"{ lat: 28.1716, lng: 113.0102, name: Changsha, year:2010},"
Singapore,2011,1.4109,103.7926,"{ lat: 1.4109, lng: 103.7926},",,,"{ lat: 1.4109, lng: 103.7926, name: Singapore, year:2011},"
Malaysia,2011,3.0206,101.7065,"{ lat: 3.0206, lng: 101.7065},",,,"{ lat: 3.0206, lng: 101.7065, name: Malaysia, year:2011},"
Seoul,2012,37.5706,126.983,"{ lat: 37.5706, lng: 126.983},",,,"{ lat: 37.5706, lng: 126.983, name: Seoul, year:2012},"
Jeju-do,2012,33.3641,126.5382,"{ lat: 33.3641, lng: 126.5382},",,,"{ lat: 33.3641, lng: 126.5382, name: Jeju-do, year:2012},"
Macao,2013,22.1908,113.548,"{ lat: 22.1908, lng: 113.548},",,,"{ lat: 22.1908, lng: 113.548, name: Macao, year:2013},"
Tokyo,2013,35.6684,139.741,"{ lat: 35.6684, lng: 139.741},",,,"{ lat: 35.6684, lng: 139.741, name: Tokyo, year:2013},"
Nagoya,2013,35.2051,136.8687,"{ lat: 35.2051, lng: 136.8687},",,,"{ lat: 35.2051, lng: 136.8687, name: Nagoya, year:2013},"
Kyoto,2013,35.0042,135.7629,"{ lat: 35.0042, lng: 135.7629},",,,"{ lat: 35.0042, lng: 135.7629, name: Kyoto, year:2013},"
Brisbane,2014,-27.5107,153.0385,"{ lat: -27.5107, lng: 153.0385},",,,"{ lat: -27.5107, lng: 153.0385, name: Brisbane, year:2014},"
Gold Coast,2014,-28.0112,153.4041,"{ lat: -28.0112, lng: 153.4041},",,,"{ lat: -28.0112, lng: 153.4041, name: Gold Coast, year:2014},"
Perth,2014,-32.0183,115.9354,"{ lat: -32.0183, lng: 115.9354},",,,"{ lat: -32.0183, lng: 115.9354, name: Perth, year:2014},"
New York,2015,40.7149,-73.9521,"{ lat: 40.7149, lng: -73.9521},",,,"{ lat: 40.7149, lng: -73.9521, name: New York, year:2015},"
Philadelphia,2015,39.9599,-75.1486,"{ lat: 39.9599, lng: -75.1486},",,,"{ lat: 39.9599, lng: -75.1486, name: Philadelphia, year:2015},"
Washington DC,2015,38.8996,-77.0238,"{ lat: 38.8996, lng: -77.0238},",,,"{ lat: 38.8996, lng: -77.0238, name: Washington DC, year:2015},"
Boston,2015,42.3497,-71.0781,"{ lat: 42.3497, lng: -71.0781},",,,"{ lat: 42.3497, lng: -71.0781, name: Boston, year:2015},"
Sydney,2016,-33.8817,151.1705,"{ lat: -33.8817, lng: 151.1705},",,,"{ lat: -33.8817, lng: 151.1705, name: Sydney, year:2016},"
Melbourne,2016,-37.826,144.9977,"{ lat: -37.826, lng: 144.9977},",,,"{ lat: -37.826, lng: 144.9977, name: Melbourne, year:2016},"
Hangzhou,2017,30.2873,120.1746,"{ lat: 30.2873, lng: 120.1746},",,,"{ lat: 30.2873, lng: 120.1746, name: Hangzhou, year:2017},"
Halifax,2017,44.671,-63.6753,"{ lat: 44.671, lng: -63.6753},",,,"{ lat: 44.671, lng: -63.6753, name: Halifax, year:2017},"
Windsor,2017,44.9923,-64.1384,"{ lat: 44.9923, lng: -64.1384},",,,"{ lat: 44.9923, lng: -64.1384, name: Windsor, year:2017},"
Vancouver,2017,49.2454,-123.1017,"{ lat: 49.2454, lng: -123.1017},",,,"{ lat: 49.2454, lng: -123.1017, name: Vancouver, year:2017},"
Xiamen,2018,24.5132,118.1053,"{ lat: 24.5132, lng: 118.1053},",,,"{ lat: 24.5132, lng: 118.1053, name: Xiamen, year:2018},"
Peggys Cove,2018,44.4939,-63.9161,"{ lat: 44.4939, lng: -63.9161},",,,"{ lat: 44.4939, lng: -63.9161, name: Peggys Cove, year:2018},"
Moncton,2018,46.0692,-64.7067,"{ lat: 46.0692, lng: -64.7067},",,,"{ lat: 46.0692, lng: -64.7067, name: Moncton, year:2018},"
Summerside,2018,46.4105,-63.7903,"{ lat: 46.4105, lng: -63.7903},",,,"{ lat: 46.4105, lng: -63.7903, name: Summerside, year:2018},"
Montreal,2018,45.5011,-73.5776,"{ lat: 45.5011, lng: -73.5776},",,,"{ lat: 45.5011, lng: -73.5776, name: Montreal, year:2018},"
Ottawa,2018,45.4313,-75.6984,"{ lat: 45.4313, lng: -75.6984},",,,"{ lat: 45.4313, lng: -75.6984, name: Ottawa, year:2018},"
Kingston,2018,44.2543,-76.5278,"{ lat: 44.2543, lng: -76.5278},",,,"{ lat: 44.2543, lng: -76.5278, name: Kingston, year:2018},"
Toronto,2018,43.6693,-79.3946,"{ lat: 43.6693, lng: -79.3946},",,,"{ lat: 43.6693, lng: -79.3946, name: Toronto, year:2018},"
Hamilton,2018,43.257,-79.8857,"{ lat: 43.257, lng: -79.8857},",,,"{ lat: 43.257, lng: -79.8857, name: Hamilton, year:2018},"
Osaka,2019,34.6876,135.5249,"{ lat: 34.6876, lng: 135.5249},",,,"{ lat: 34.6876, lng: 135.5249, name: Osaka, year:2019},"
Okayama,2019,34.6723,133.9355,"{ lat: 34.6723, lng: 133.9355},",,,"{ lat: 34.6723, lng: 133.9355, name: Okayama, year:2019},"
Tanzania,2019,-2.3308,34.8425,"{ lat: -2.3308, lng: 34.8425},",,,"{ lat: -2.3308, lng: 34.8425, name: Tanzania, year:2019},"
Los Angeles,2019,34.0624,-118.3567,"{ lat: 34.0624, lng: -118.3567},",,,"{ lat: 34.0624, lng: -118.3567, name: Los Angeles, year:2019},"
San Diego,2019,32.7446,-117.1527,"{ lat: 32.7446, lng: -117.1527},",,,"{ lat: 32.7446, lng: -117.1527, name: San Diego, year:2019},"
Nanjing,2020,32.0151,118.7853,"{ lat: 32.0151, lng: 118.7853},",,,"{ lat: 32.0151, lng: 118.7853, name: Nanjing, year:2020},"
Lanzhou,2020,36.0745,103.739,"{ lat: 36.0745, lng: 103.739},",,,"{ lat: 36.0745, lng: 103.739, name: Lanzhou, year:2020},"
Gansu,2020,40.0419,94.8077,"{ lat: 40.0419, lng: 94.8077},",,,"{ lat: 40.0419, lng: 94.8077, name: Gansu, year:2020},"
Qinghai,2020,36.2762,100.626,"{ lat: 36.2762, lng: 100.626},",,,"{ lat: 36.2762, lng: 100.626, name: Qinghai, year:2020},"
Shanwei,2021,22.7785,15.3663,"{ lat: 22.7785, lng: 15.3663},",,,"{ lat: 22.7785, lng: 15.3663, name: Shanwei, year:2021},"
Shantou,2021,23.3828,116.7034,"{ lat: 23.3828, lng: 116.7034},",,,"{ lat: 23.3828, lng: 116.7034, name: Shantou, year:2021},"
Chaozhou,2021,23.6625,116.6179,"{ lat: 23.6625, lng: 116.6179},",,,"{ lat: 23.6625, lng: 116.6179, name: Chaozhou, year:2021},"
Chengdu,2021,30.654,104.0691,"{ lat: 30.654, lng: 104.0691},",,,"{ lat: 30.654, lng: 104.0691, name: Chengdu, year:2021},"
Québec City,2022,46.8068,-71.2447,"{ lat: 46.8068, lng: -71.2447},",,,"{ lat: 46.8068, lng: -71.2447, name: Québec City, year:2022},"
Calgary,2023,51.0466,-114.0398,"{ lat: 51.0466, lng: -114.0398},",,,"{ lat: 51.0466, lng: -114.0398, name: Calgary, year:2023},"
Lindsay,2023,44.3424,-78.7348,"{ lat: 44.3424, lng: -78.7348},",,,"{ lat: 44.3424, lng: -78.7348, name: Lindsay, year:2023},"
